id,valeur,source_fichier,ancre,hash,date_source,etiquette,statut,N_eff,rider_id,paire_id,sections_autorisees
N-17,+5.12e−06,docs/JOURNAL.md,l.2046 ; min IC_inf ; non re-mesure depuis les bruts,0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-28,"re-lu du journal, non re-mesuré",descriptif,9,RD-06,N-18,3
N-18,2.17e−02,docs/JOURNAL.md,l.2047 ; largeur ; non re-mesure depuis les bruts,0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-28,"re-lu du journal, non re-mesuré",descriptif,9,RD-06,N-17,3
N-19,1,docs/JOURNAL.md,l.2058 ; lecture decisionnelle,0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-28,"re-lu du journal, non re-mesuré",descriptif,SANS OBJET (dérivée : compte de classes),RD-07,N-20,3
N-20,3,docs/ARCHITECTURE.md,"§3, l.188 ; lecture « toute lecture publiee »",769a765bbfc63f867626bf70ba4fd08c322240d08d3fbdcd3251afcf32617b58,2026-09-04,"re-lu de l'architecture, non re-mesuré",descriptif,SANS OBJET (dérivée : compte de classes),RD-07,N-19,3
N-21,~170 / ~14 / ~11,experiments/EXP-2026-08-27-plancher-base-sigma.md,l.85 ; derivation PRE-MESURE du 2026-08-27 ; instrument remplace le 2026-08-28 par Q-M1-bis (0-171) ; mention historique,5dad725841175be215f70a054d6d20826e73c34a65f13d53694f5eb1608ec5a7,2026-08-27,"re-lu d'un protocole, non re-mesuré",HISTORIQUE-PÉRIMÉ,NON ÉTABLI (dérivation pré-mesure),RD-08,,4
N-22,4.8,docs/JOURNAL.md,l.1971 (+2.437 ± 0.337 → +0.509 ± 0.378) ; non re-mesure depuis les bruts,0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-27,"re-lu du journal, non re-mesuré",descriptif,SANS OBJET (dérivée : rapport de deux excès),,,3
N-23,± du facteur 4.8,,aucun ± n'est attache au facteur 4.8 dans le corpus ; lab-math : « un ± sur 4.8 ne doit JAMAIS etre fabrique par delta-methode — la covariance des deux exces n'est pas retrouvable »,,2026-09-05,SANS SOURCE (support vide),INVALIDE-SOURCE,SANS OBJET (dérivée : non calculable),,,3
N-24,4.788,docs/JOURNAL.md,"quotient NON ÉCRIT dans le corpus (vérification par énumération) ; seul « facteur 4.8 » figure (l.1971) ; dérivé de +2.437 et +0.509 (l.1971) ; script=python -c ""print(round(2.437/0.509, 3))""",0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-27,re-dérivé,descriptif,SANS OBJET (dérivée : quotient +2.437 / +0.509),,,3
N-25,4.41,experiments/EXP-2026-08-27-plancher-base-sigma.md,l.218 ; pente ; script=eval/support_overlap.py:3212 ; non re-mesure depuis les bruts,5dad725841175be215f70a054d6d20826e73c34a65f13d53694f5eb1608ec5a7,2026-08-27,"re-lu d'un protocole, non re-mesuré",descriptif,SANS OBJET (dérivée : (phi/Q)^2/2),,,3
N-26,2.6601,experiments/EXP-2026-08-27-plancher-base-sigma.md,l.218 ; t = ndtri(1 − 1/256) ; non re-mesure depuis les bruts,5dad725841175be215f70a054d6d20826e73c34a65f13d53694f5eb1608ec5a7,2026-08-27,"re-lu d'un protocole, non re-mesuré",descriptif,SANS OBJET (dérivée : quantile normal),,,3
N-27,"3,0 %",experiments/EXP-2026-09-04-rapport-sous-banc.md,l.253 ; borne haute Clopper-Pearson 95 % a 0 erreur,bd679412eb0ad8251b64111eef2f485f3c948feac280263a9e11f0d04dad3707,2026-09-04,"re-lu d'un protocole, non re-mesuré",descriptif,100,,,5
N-28,0.0295,experiments/EXP-2026-09-04-rapport-sous-banc.md,"dérivation NON ÉCRITE dans le corpus ; seul « ≈ 3,0 % » figure (l.253) ; borne haute Clopper-Pearson 95 % à 0 erreur sur n = 100 ; script=python -c ""print(round(1 - 0.05**(1/100), 4))""",bd679412eb0ad8251b64111eef2f485f3c948feac280263a9e11f0d04dad3707,2026-09-04,re-dérivé,descriptif,"SANS OBJET (dérivée : Clopper-Pearson, 1 − 0.05^(1/100))",,,5
N-29,6,docs/JOURNAL.md,l.2117-2120 ; conjecture d'auteur ; 1/sqrt(1−rho^2) vaut 5.025 a rho = 0.98 et 6 exactement a rho = sqrt(35/36) = 0.98601 ; recette de fermeture en trois pas : eval/support_overlap.py:3194 (sigma^ exacte) et :3212 (pente),0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-28,"re-lu du journal, non re-mesuré",descriptif,SANS OBJET (dérivée : conjecture),,,3
N-30,0.23/0.45/0.78,docs/JOURNAL.md,"l.307 ; le corpus ne l'écrit qu'en TRIPLET 0.23/0.45/0.78, jamais en couple 0.23/0.78 ; LA MÉDIANE 0.45 PORTE LA FALAISE — la citer en couple efface le point où le régime bascule (0-226) ; non re-mesure depuis les bruts",0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-21,"re-lu du journal, non re-mesuré",descriptif,NON ÉTABLI (lecture d'instrument),,,4
N-31,+0.394,docs/JOURNAL.md,l.769-770 ; 343 positions d'un texte unique ; non re-mesure depuis les bruts,0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-21,"re-lu du journal, non re-mesuré",descriptif,"NON ÉTABLI (343 positions autocorrélées, texte unique)",,,4
N-32,+0.740 ± 0.799,docs/EXTENSIONS.md,"§4, l.622 ; E1 GPT-2, point X1b ; non re-mesure depuis les bruts",5f440612eb79ae63a71bec28b5cc7bf09a33e53f5116e55acaa052c0917cfc69,2026-08-20,"re-lu des extensions, non re-mesuré",descriptif,10,,,2
N-33,0.68,docs/JOURNAL.md,"l.169 ; a citer « ~0.6-0.7 (IC large, N=10) », l.820-821 ; non re-mesure depuis les bruts",0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-21,"re-lu du journal, non re-mesuré",descriptif,10,,,2
N-34,+4.18 ± 1.76,docs/JOURNAL.md,"l.639 ; E1 fumee Qwen, regime X8 ; non re-mesure depuis les bruts",0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-21,"re-lu du journal, non re-mesuré",descriptif,2,,,2
N-35,1.0000,docs/JOURNAL.md,l.1755 ; R1 sur 180/180 x 3 modeles ; non re-mesure depuis les bruts,0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-23,"re-lu du journal, non re-mesuré",descriptif,180,,,3
N-36,28/30,docs/JOURNAL.md,"l.1233 ; P1[F], « non interpretable » ; non re-mesure depuis les bruts",0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-22,"re-lu du journal, non re-mesuré",descriptif,30,,N-38,3
N-37,30/30,docs/JOURNAL.md,l.1234 ; P1[L6] ; non re-mesure depuis les bruts,0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-22,"re-lu du journal, non re-mesuré",descriptif,30,,N-39,3
N-38,12/30,docs/JOURNAL.md,"l.1239 ; plancher, cle de bruit de norme appariee (F) ; non re-mesure depuis les bruts",0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-22,"re-lu du journal, non re-mesuré",descriptif,30,,N-36,3
N-39,23/30,docs/JOURNAL.md,"l.1239 ; plancher, cle de bruit de norme appariee (L6) ; non re-mesure depuis les bruts",0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-22,"re-lu du journal, non re-mesuré",descriptif,30,,N-37,3
N-40,"19,8 / 26,6 / 27,6",docs/ARCHITECTURE.md,"§3, l.189 (D36) ; occurrence UNIQUE dans le corpus ; non re-mesure depuis les bruts",769a765bbfc63f867626bf70ba4fd08c322240d08d3fbdcd3251afcf32617b58,2026-09-04,"re-lu de l'architecture, non re-mesuré",descriptif,"[19,8 ; 27,6] (N_eff de grappes, non entiers — methode de quantile a publier)",,,3
N-41,7/9,docs/JOURNAL.md,"l.2045 ; p ≈ 0.09 DESCRIPTIF, sans classe, jamais promu ; non re-mesure depuis les bruts",0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-28,"re-lu du journal, non re-mesuré",descriptif,NON ÉTABLI (« N = 9 » n'est JAMAIS écrit ; 9 est le dénominateur de 0/9 et 7/9 — 0-227),,,3
N-42,"[−0.0225, +0.0322]",docs/JOURNAL.md,"l.2044-2045 ; Delta_Base − Delta^_Base, 0/9 > 2×eps_B ; la notation « N = 9 » n'est JAMAIS écrite : le 9 est un dénominateur (0-227) ; non re-mesure depuis les bruts",0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-28,"re-lu du journal, non re-mesuré",descriptif,NON ÉTABLI (« N = 9 » n'est JAMAIS écrit ; 9 est le dénominateur de 0/9 et 7/9 — 0-227),,,3
N-43,0.147 à 0.337,docs/JOURNAL.md,"l.1871 ; les douze cosinus mesures AVEC LA G DU PROJET (torch.randn, engram/hippocampus.py::phi), produits par l'echec de la porte V-G ; non re-mesure depuis les bruts",0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-26,"re-lu du journal, non re-mesuré",descriptif,12,,N-44,3;4
N-44,"[0.1590, 0.3401]",docs/JOURNAL.md,"l.1692 ; cos_dg mesure sous la G d'A3 (numpy.random.default_rng), bruts experiments/results/v4-materiel/mesure-*.json champ metrics.descriptif_A3 ; QUANTITE DISTINCTE de N-43 (deux G, corrcoef ≈ 0.011, l.1675) ; non re-mesure depuis les bruts",0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-26,"re-lu du journal, non re-mesuré",descriptif,12,,N-43,3;4
N-45,180 B,report/data/qwen38-flash-next/ARCHIVE-DEGRADEE.md,tableau « Chiffres » ; total sur disque,fc8c514d2622793e2d1a8d716d7c40d4058dd34168f0114e3dc2321f9ecf7f59,2026-09-05,externe-archivé-dégradé,descriptif,SANS OBJET (dérivée : somme des composantes),,,6
N-46,125 B,report/data/qwen38-flash-next/ARCHIVE-DEGRADEE.md,tableau « Chiffres » ; backbone,fc8c514d2622793e2d1a8d716d7c40d4058dd34168f0114e3dc2321f9ecf7f59,2026-09-05,externe-archivé-dégradé,descriptif,SANS OBJET (dérivée : source externe),,,6
N-47,51 B,report/data/qwen38-flash-next/ARCHIVE-DEGRADEE.md,tableau « Chiffres » ; embeddings n-grammes,fc8c514d2622793e2d1a8d716d7c40d4058dd34168f0114e3dc2321f9ecf7f59,2026-09-05,externe-archivé-dégradé,descriptif,SANS OBJET (dérivée : source externe),,,6
N-48,4 B,report/data/qwen38-flash-next/ARCHIVE-DEGRADEE.md,tableau « Chiffres » ; multi-token prediction — composante OMISE par la première transmission au laboratoire,fc8c514d2622793e2d1a8d716d7c40d4058dd34168f0114e3dc2321f9ecf7f59,2026-09-05,externe-archivé-dégradé,descriptif,SANS OBJET (dérivée : source externe),,,6
N-49,6 B,report/data/qwen38-flash-next/ARCHIVE-DEGRADEE.md,tableau « Chiffres » ; actifs par token,fc8c514d2622793e2d1a8d716d7c40d4058dd34168f0114e3dc2321f9ecf7f59,2026-09-05,externe-archivé-dégradé,descriptif,SANS OBJET (dérivée : source externe),,,6
N-50,"20,000,000|20 000 000",report/data/qwen38-flash-next/ARCHIVE-DEGRADEE.md,"extrait VERBATIM : « A 20,000,000-entry bigram/trigram table at layer 2 adds capacity through deterministic lookups. »",fc8c514d2622793e2d1a8d716d7c40d4058dd34168f0114e3dc2321f9ecf7f59,2026-09-05,externe-archivé-dégradé,descriptif,SANS OBJET (dérivée : source externe),,,6
N-51,2,report/data/qwen38-flash-next/ARCHIVE-DEGRADEE.md,"extrait VERBATIM (même phrase que N-50) : « … table at layer 2 … » ; couche 2, contre les couches 6 / 16 / 14 d'engram — borne 1 de (xxxi)",fc8c514d2622793e2d1a8d716d7c40d4058dd34168f0114e3dc2321f9ecf7f59,2026-09-05,externe-archivé-dégradé,descriptif,SANS OBJET (dérivée : source externe),,,6
N-52,"la source ne se prononce pas sur la mutabilité de la table à l'inférence ; la question test-time-inscriptible reste ouverte — et elle reste ouverte parce que RIEN N'EST DIT, non parce que quelque chose serait établi",report/data/qwen38-flash-next/ARCHIVE-DEGRADEE.md,"§ « CE QUE LA SOURCE NE DIT PAS » ; extraction verbatim : « The article does not explicitly state whether the N-gram embedding table is trained during initial training, remains fixed afterward, or is writable at inference time. » ; formulation INTERDITE : « la table est figée à l'inférence » ; clause de banc C15c",fc8c514d2622793e2d1a8d716d7c40d4058dd34168f0114e3dc2321f9ecf7f59,2026-09-05,externe-archivé-dégradé,descriptif,SANS OBJET (dérivée : énoncé négatif de source),,,6
